interval_index,interval_start,interval_end,load_energy_kwh,pv_forecast_energy_kwh,purchase_kwh,charge_kwh,discharge_kwh,curtail_kwh,storage_kwh,price_yuan_per_kwh
21,03:20,03:30,590.8134667,0.0,590.8134667,0.0,0.0,0.0,10050.0,0.4356
22,03:30,03:40,590.2131167,0.0,590.2131167,0.0,0.0,0.0,10050.0,0.4353
23,03:40,03:50,591.0662667,0.0,591.0662667,0.0,0.0,0.0,10050.0,0.436
24,03:50,04:00,593.3678333,0.0,593.3678333,0.0,0.0,0.0,10050.0,0.4378
25,04:00,04:10,593.6596833,0.0,593.6596833,0.0,0.0,0.0,10050.0,0.4401
26,04:10,04:20,592.7863833,0.0,592.7863833,0.0,0.0,0.0,10050.0,0.4389
27,04:20,04:30,593.3378667,0.0,593.3378667,0.0,0.0,0.0,10050.0,0.4364
28,04:30,04:40,596.7756667,0.0999,596.6757666999999,0.0,0.0,0.0,10050.0,0.4393
29,04:40,04:50,597.8193333,0.03908333333,597.78024996667,0.0,0.0,0.0,10050.0,0.4422
30,04:50,05:00,595.2105833,0.04808333333,595.16249996667,0.0,0.0,0.0,10050.0,0.4395
31,05:00,05:10,593.7195167,3.113016667,590.606500033,0.0,0.0,0.0,10050.0,0.4333
32,05:10,05:20,598.5634833,9.0783,589.4851833,0.0,0.0,0.0,10050.0,0.4439
33,05:20,05:30,596.6174167,18.16196667,578.4554500300001,0.0,0.0,0.0,10050.0,0.4301
34,05:30,05:40,581.0198333,30.69338333,1383.6597833033334,833.3333333333333,0.0,0.0,10800.0,0.3713
35,05:40,05:50,637.3165667,46.17636667,591.14020003,0.0,-0.0,0.0,10800.0,0.5708
36,05:50,06:00,733.0121167,64.75823333,0.0,0.0,668.25388337,0.0,10057.495685144444,0.9099
37,06:00,06:10,742.3353833,86.88005,0.0,0.0,655.4553333,0.0,9329.211981477778,0.9368
38,06:10,06:20,728.6319833,112.12795,0.0,0.0,616.5040333,0.0,8644.207500033333,0.8758
39,06:20,06:30,732.1588333,140.70435,0.0,0.0,591.4544833,0.0,7987.035851922223,0.8759
40,06:30,06:40,730.7659333,173.2790667,0.0,0.0,557.4868666,0.0,7367.606000144445,0.8601
41,06:40,06:50,739.1292833,209.8895833,0.0,0.0,529.2397,0.0,6779.5618890333335,0.8442
42,06:50,07:00,753.90935,251.4386333,0.0,0.0,502.4707167,0.0,6221.2610927000005,0.8334
43,07:00,07:10,754.0120167,298.56845,0.0,0.0,455.4435667,0.0,5715.212685255556,0.8092
44,07:10,07:20,757.6477833,347.5810833,0.0,0.0,410.0667,0.0,5259.583018588889,0.7972
45,07:20,07:30,753.8736333,396.87685,0.0,0.0,356.99678330000006,0.0,4862.9199260333335,0.7644
46,07:30,07:40,730.5594333,447.1958667,0.0,0.0,283.3635666,0.0,4548.0715187000005,0.6899
47,07:40,07:50,818.4099833,497.7258667,0.0,0.0,320.68411660000004,0.0,4191.75583358889,0.86
48,07:50,08:00,966.6221167,548.2006667,0.0,0.0,418.42144999999994,0.0,3726.8431113666675,1.1617
49,08:00,08:10,980.8043333,598.89355,0.0,0.0,381.91078330000005,0.0,3302.4977965888897,1.1683
50,08:10,08:20,958.0118833,648.4555333,0.0,0.0,309.55635000000007,0.0,2958.5462965888896,1.0956
51,08:20,08:30,961.5096833,696.8902833,0.0,0.0,264.61940000000004,0.0,2664.524741033334,1.0849
52,08:30,08:40,959.0350833,745.2942833,0.0,0.0,213.74080000000004,0.0,2427.0349632555562,1.061
53,08:40,08:50,970.6967833,792.1378667,0.0,0.0,178.55891659999998,0.0,2228.636167033334,1.043
54,08:50,09:00,992.3766833,836.9845667,0.0,0.0,155.3921166,0.0,2055.9782597000008,1.036
55,09:00,09:10,993.1616,880.9021,0.0,0.0,112.2595,0.0,1931.245481922223,1.0147
56,09:10,09:20,988.2592333,923.8623667,0.0,0.0,64.39686659999995,0.0,1859.693407922223,0.9922
57,09:20,09:30,987.2971333,964.7348833,0.0,0.0,22.562250000000063,0.0,1834.6242412555564,0.97
58,09:30,09:40,984.5976667,1002.021733,0.0,17.42406630000005,0.0,0.0,1850.3059009255564,0.9422
59,09:40,09:50,983.1877,1036.025467,0.0,52.837766999999985,0.0,0.0,1897.8598912255563,0.9569
60,09:50,10:00,983.7032667,1068.265683,0.0,84.56241630000011,0.0,0.0,1973.9660658955565,0.9977
61,10:00,10:10,982.9132167,1099.8968,0.0,116.98358329999996,0.0,0.0,2079.2512908655567,0.9919
62,10:10,10:20,981.1261333,1127.786733,0.0,146.66059969999992,0.0,0.0,2211.2458305955565,0.9588
63,10:20,10:30,978.9118,1152.43205,0.0,173.52024999999992,0.0,0.0,2367.4140555955564,0.9549
64,10:30,10:40,976.3384667,1177.36755,0.0,201.0290832999999,0.0,0.0,2548.3402305655563,0.9839
65,10:40,10:50,974.1658,1199.571917,0.0,225.406117,0.0,0.0,2751.2057358655566,0.799
66,10:50,11:00,973.17645,1217.1857,0.0,244.00924999999995,0.0,0.0,2970.8140608655567,0.5025
67,11:00,11:10,973.1183833,1231.2808,575.1709166333333,833.3333333333333,0.0,0.0,3720.8140608655567,0.4662
68,11:10,11:20,970.5729667,1243.2045,0.0,272.6315333,0.0,0.0,3966.182440835557,0.5007
69,11:20,11:30,969.1322,1253.453183,0.0,284.32098300000007,0.0,0.0,4222.071325535557,0.4827
70,11:30,11:40,972.06585,1261.367317,179.2771710938306,468.5786380938306,0.0,0.0,4643.792099820004,0.4785
71,11:40,11:50,952.1501667,1265.358983,520.1245170333332,833.3333333333333,0.0,0.0,5393.792099820004,0.4662
72,11:50,12:00,919.9101167,1266.84055,486.40290003333337,833.3333333333333,0.0,0.0,6143.792099820004,0.4432
73,12:00,12:10,915.79845,1268.719333,480.41245033333325,833.3333333333333,0.0,0.0,6893.792099820004,0.4411
74,12:10,12:20,919.0754,1267.108733,485.3000003333332,833.3333333333333,0.0,0.0,7643.792099820004,0.4551
75,12:20,12:30,914.3048333,1259.0312,488.6069666333334,833.3333333333333,0.0,0.0,8393.792099820004,0.4463
76,12:30,12:40,910.3938,1245.4564,498.2707333333333,833.3333333333333,0.0,0.0,9143.792099820004,0.4113
77,12:40,12:50,927.6844333,1232.2362,0.0,304.55176670000003,0.0,0.0,9417.888689850004,0.5682
78,12:50,13:00,954.2924667,1218.79965,0.0,264.50718329999995,0.0,0.0,9655.945154820003,0.8279
79,13:00,13:10,956.5826167,1199.090167,0.0,242.50755030000005,0.0,0.0,9874.201950090002,0.8636
80,13:10,13:20,952.4472667,1175.52285,0.0,223.07558330000006,0.0,0.0,10074.969975060003,0.8416
81,13:20,13:30,952.9750833,1151.7344,0.0,198.7593167,0.0,0.0,10253.853360090003,0.8618
82,13:30,13:40,951.3747667,1128.734583,0.0,177.35981629999992,0.0,0.0,10413.477194760002,0.8623
83,13:40,13:50,949.4863667,1101.226667,0.0,151.74030029999994,0.0,0.0,10550.043465030001,0.9026
84,13:50,14:00,948.7163833,1068.751417,0.0,120.03503369999999,0.0,0.0,10658.07499536,0.9754
85,14:00,14:10,947.85485,1035.6693,0.0,87.81444999999997,0.0,0.0,10737.10800036,1.0002
86,14:10,14:20,946.4936667,1000.118533,0.0,53.62486630000001,0.0,0.0,10785.37038003,0.9978
87,14:20,14:30,944.9084667,961.1636,0.0,16.25513330000001,0.0,0.0,10800.0,1.0271
88,14:30,14:40,944.0324667,920.2511,0.0,0.0,23.781366700000035,0.0,10773.576259222222,1.0906
89,14:40,14:50,945.4501833,878.1301667,0.0,0.0,67.32001660000003,0.0,10698.776240777777,0.9376
90,14:50,15:00,947.0424,834.9525333,112.08986670000002,0.0,0.0,0.0,10698.776240777777,0.6694
91,15:00,15:10,944.8365833,790.5747333,266.7326935802474,112.47084358024748,0.0,0.0,10800.0,0.66
92,15:10,15:20,942.7275167,745.204,197.52351670000007,0.0,0.0,0.0,10800.0,0.7217
93,15:20,15:30,942.8477833,698.03375,244.8140332999999,0.0,0.0,0.0,10800.0,0.7308
94,15:30,15:40,943.7668,648.2321833,295.5346167,0.0,0.0,0.0,10800.0,0.7534
95,15:40,15:50,944.8766,599.0991,345.77750000000003,0.0,0.0,0.0,10800.0,0.7823
96,15:50,16:00,945.57945,550.6479667,394.93148329999997,0.0,0.0,0.0,10800.0,0.8055
97,16:00,16:10,945.1691,499.73745,445.43164999999993,0.0,-0.0,0.0,10800.0,0.8271
98,16:10,16:20,943.5987667,447.9021833,495.69658340000007,0.0,-0.0,0.0,10800.0,0.8519
99,16:20,16:30,944.3153667,397.1963167,547.11905,0.0,-0.0,0.0,10800.0,0.8791
100,16:30,16:40,948.1728667,348.1874333,599.9854333999999,0.0,-0.0,0.0,10800.0,0.9024
101,16:40,16:50,933.9435667,298.5138167,635.42975,0.0,-0.0,0.0,10800.0,0.9163
102,16:50,17:00,911.1187333,250.28805,660.8306833,0.0,-0.0,0.0,10800.0,0.9264
103,17:00,17:10,911.2323167,209.1953833,702.0369334,0.0,-0.0,0.0,10800.0,0.9462
104,17:10,17:20,910.7878333,172.72205,738.0657833,0.0,-0.0,0.0,10800.0,0.9742
105,17:20,17:30,915.4076333,139.4629167,775.9447166,0.0,-0.0,0.0,10800.0,0.9862
106,17:30,17:40,936.9551333,110.8718833,826.08325,0.0,0.0,0.0,10800.0,0.976
107,17:40,17:50,848.5354333,86.11263333,762.42279997,0.0,-0.0,0.0,10800.0,1.0742
108,17:50,18:00,701.4281333,64.44551667,636.98261663,0.0,-0.0,0.0,10800.0,1.2313
109,18:00,18:10,687.12685,45.96555,531.8940499002995,0.0,109.2672500997005,0.0,10678.591944333666,1.2561
110,18:10,18:20,709.3226333,30.4921,678.8305333,0.0,0.0,0.0,10678.591944333666,1.2447
111,18:20,18:30,704.3254,18.0569,686.2684999999999,0.0,0.0,0.0,10678.591944333666,1.2545
112,18:30,18:40,705.5564,9.052016667,696.5043833330001,0.0,0.0,0.0,10678.591944333666,1.2522
113,18:40,18:50,707.74375,3.109483333,0.0,0.0,704.634266667,0.0,9895.664981370333,1.2881
114,18:50,19:00,706.5299167,0.04588333333,0.0,0.0,706.4840333666699,0.0,9110.682722074034,1.3466
115,19:00,19:10,707.4447333,0.03826666667,0.0,0.0,707.4064666333301,0.0,8324.67553692589,1.3523
116,19:10,19:20,708.6531167,0.1001166667,0.0,0.0,708.5530000333,0.0,7537.394425777778,1.3445
117,19:20,19:30,709.4468833,0.0,0.0,0.0,709.4468833,0.0,6749.120111,1.3483
118,19:30,19:40,711.23245,0.0,0.0,0.0,711.23245,0.0,5958.861833222222,1.349
119,19:40,19:50,711.6625,0.0,0.0,0.0,711.6625,0.0,5168.125722111111,1.3473
120,19:50,20:00,711.4450333,0.0,0.0,0.0,711.4450333,0.0,4377.631240666667,1.3482
121,20:00,20:10,713.7040833,0.0,0.0,0.0,713.7040833,0.0,3584.626703666667,1.3513
122,20:10,20:20,715.28415,0.0,0.0,0.0,715.28415,0.0,2789.866537,1.34
123,20:20,20:30,715.22685,0.0,0.0,0.0,715.22685,0.0,1995.1700369999999,1.3489
124,20:30,20:40,715.6530333,0.0,0.0,0.0,715.6530333,0.0,1200.0,1.3952
125,20:40,20:50,715.8689167,0.0,715.8689167,0.0,-0.0,0.0,1200.0,1.2226
126,20:50,21:00,717.0051167,0.0,717.0051167,0.0,0.0,0.0,1200.0,0.9332
127,21:00,21:10,720.1603,0.0,720.1603,0.0,0.0,0.0,1200.0,0.9068
128,21:10,21:20,717.0548667,0.0,717.0548667,0.0,0.0,0.0,1200.0,0.9371
129,21:20,21:30,720.4459667,0.0,720.4459667,0.0,0.0,0.0,1200.0,0.9371
130,21:30,21:40,738.1347167,0.0,738.1347167,0.0,-0.0,0.0,1200.0,0.9871
131,21:40,21:50,671.6935667,0.0,671.6935667,0.0,-0.0,0.0,1200.0,0.7764
132,21:50,22:00,560.4569833,0.0,1393.7903166333333,833.3333333333333,0.0,0.0,1950.0,0.4209
133,22:00,22:10,551.5655667,0.0,1384.8989000333331,833.3333333333333,0.0,0.0,2700.0,0.3859
134,22:10,22:20,568.82605,0.0,568.82605,0.0,0.0,0.0,2700.0,0.4368
135,22:20,22:30,563.6552167,0.0,1396.9885500333332,833.3333333333333,0.0,0.0,3450.0,0.4198
136,22:30,22:40,564.4265333,0.0,1397.7598666333333,833.3333333333333,0.0,0.0,4200.0,0.4186
137,22:40,22:50,566.7474333,0.0,566.7474333,0.0,0.0,0.0,4200.0,0.4241
138,22:50,23:00,566.5404333,0.0,1399.8737666333332,833.3333333333333,0.0,0.0,4950.0,0.4237
139,23:00,23:10,567.83015,0.0,567.83015,0.0,0.0,0.0,4950.0,0.4248
140,23:10,23:20,569.3586333,0.0,569.3586333,0.0,0.0,0.0,4950.0,0.424
141,23:20,23:30,570.3301833,0.0,1403.6635166333333,833.3333333333333,0.0,0.0,5700.0,0.422
142,23:30,23:40,571.6153833,0.0,904.9487166333333,333.3333333333333,0.0,0.0,6000.0,0.424
143,23:40,23:50,573.1768333,0.0,573.1768333,0.0,0.0,0.0,6000.0,0.4271
144,23:50,24:00,574.1209833,0.0,574.1209833,0.0,0.0,0.0,6000.0,0.4276
