interval_index,interval_start,interval_end,interval_start_minute,interval_end_minute,duration_hours,electricity_price_yuan_per_kwh,load_kw,pv_forecast_kw,load_energy_kwh,pv_forecast_energy_kwh
28,04:30,04:40,270,280,0.1666666667,0.4393,3580.654,0.5994,596.7756667,0.0999
29,04:40,04:50,280,290,0.1666666667,0.4422,3586.916,0.2345,597.8193333,0.03908333333
30,04:50,05:00,290,300,0.1666666667,0.4395,3571.2635,0.2885,595.2105833,0.04808333333
31,05:00,05:10,300,310,0.1666666667,0.4333,3562.3171,18.6781,593.7195167,3.113016667
32,05:10,05:20,310,320,0.1666666667,0.4439,3591.3809,54.4698,598.5634833,9.0783
33,05:20,05:30,320,330,0.1666666667,0.4301,3579.7045,108.9718,596.6174167,18.16196667
34,05:30,05:40,330,340,0.1666666667,0.3713,3486.119,184.1603,581.0198333,30.69338333
35,05:40,05:50,340,350,0.1666666667,0.5708,3823.8994,277.0582,637.3165667,46.17636667
36,05:50,06:00,350,360,0.1666666667,0.9099,4398.0727,388.5494,733.0121167,64.75823333
37,06:00,06:10,360,370,0.1666666667,0.9368,4454.0123,521.2803,742.3353833,86.88005
38,06:10,06:20,370,380,0.1666666667,0.8758,4371.7919,672.7677,728.6319833,112.12795
39,06:20,06:30,380,390,0.1666666667,0.8759,4392.953,844.2261,732.1588333,140.70435
40,06:30,06:40,390,400,0.1666666667,0.8601,4384.5956,1039.6744,730.7659333,173.2790667
41,06:40,06:50,400,410,0.1666666667,0.8442,4434.7757,1259.3375,739.1292833,209.8895833
42,06:50,07:00,410,420,0.1666666667,0.8334,4523.4561,1508.6318,753.90935,251.4386333
43,07:00,07:10,420,430,0.1666666667,0.8092,4524.0721,1791.4107,754.0120167,298.56845
44,07:10,07:20,430,440,0.1666666667,0.7972,4545.8867,2085.4865,757.6477833,347.5810833
45,07:20,07:30,440,450,0.1666666667,0.7644,4523.2418,2381.2611,753.8736333,396.87685
46,07:30,07:40,450,460,0.1666666667,0.6899,4383.3566,2683.1752,730.5594333,447.1958667
47,07:40,07:50,460,470,0.1666666667,0.86,4910.4599,2986.3552,818.4099833,497.7258667
48,07:50,08:00,470,480,0.1666666667,1.1617,5799.7327,3289.204,966.6221167,548.2006667
49,08:00,08:10,480,490,0.1666666667,1.1683,5884.826,3593.3613,980.8043333,598.89355
50,08:10,08:20,490,500,0.1666666667,1.0956,5748.0713,3890.7332,958.0118833,648.4555333
51,08:20,08:30,500,510,0.1666666667,1.0849,5769.0581,4181.3417,961.5096833,696.8902833
52,08:30,08:40,510,520,0.1666666667,1.061,5754.2105,4471.7657,959.0350833,745.2942833
53,08:40,08:50,520,530,0.1666666667,1.043,5824.1807,4752.8272,970.6967833,792.1378667
54,08:50,09:00,530,540,0.1666666667,1.036,5954.2601,5021.9074,992.3766833,836.9845667
55,09:00,09:10,540,550,0.1666666667,1.0147,5958.9696,5285.4126,993.1616,880.9021
56,09:10,09:20,550,560,0.1666666667,0.9922,5929.5554,5543.1742,988.2592333,923.8623667
57,09:20,09:30,560,570,0.1666666667,0.97,5923.7828,5788.4093,987.2971333,964.7348833
58,09:30,09:40,570,580,0.1666666667,0.9422,5907.586,6012.1304,984.5976667,1002.021733
59,09:40,09:50,580,590,0.1666666667,0.9569,5899.1262,6216.1528,983.1877,1036.025467
60,09:50,10:00,590,600,0.1666666667,0.9977,5902.2196,6409.5941,983.7032667,1068.265683
61,10:00,10:10,600,610,0.1666666667,0.9919,5897.4793,6599.3808,982.9132167,1099.8968
62,10:10,10:20,610,620,0.1666666667,0.9588,5886.7568,6766.7204,981.1261333,1127.786733
63,10:20,10:30,620,630,0.1666666667,0.9549,5873.4708,6914.5923,978.9118,1152.43205
64,10:30,10:40,630,640,0.1666666667,0.9839,5858.0308,7064.2053,976.3384667,1177.36755
65,10:40,10:50,640,650,0.1666666667,0.799,5844.9948,7197.4315,974.1658,1199.571917
66,10:50,11:00,650,660,0.1666666667,0.5025,5839.0587,7303.1142,973.17645,1217.1857
67,11:00,11:10,660,670,0.1666666667,0.4662,5838.7103,7387.6848,973.1183833,1231.2808
68,11:10,11:20,670,680,0.1666666667,0.5007,5823.4378,7459.227,970.5729667,1243.2045
69,11:20,11:30,680,690,0.1666666667,0.4827,5814.7932,7520.7191,969.1322,1253.453183
70,11:30,11:40,690,700,0.1666666667,0.4785,5832.3951,7568.2039,972.06585,1261.367317
71,11:40,11:50,700,710,0.1666666667,0.4662,5712.901,7592.1539,952.1501667,1265.358983
72,11:50,12:00,710,720,0.1666666667,0.4432,5519.4607,7601.0433,919.9101167,1266.84055
73,12:00,12:10,720,730,0.1666666667,0.4411,5494.7907,7612.316,915.79845,1268.719333
74,12:10,12:20,730,740,0.1666666667,0.4551,5514.4524,7602.6524,919.0754,1267.108733
75,12:20,12:30,740,750,0.1666666667,0.4463,5485.829,7554.1872,914.3048333,1259.0312
76,12:30,12:40,750,760,0.1666666667,0.4113,5462.3628,7472.7384,910.3938,1245.4564
77,12:40,12:50,760,770,0.1666666667,0.5682,5566.1066,7393.4172,927.6844333,1232.2362
78,12:50,13:00,770,780,0.1666666667,0.8279,5725.7548,7312.7979,954.2924667,1218.79965
79,13:00,13:10,780,790,0.1666666667,0.8636,5739.4957,7194.541,956.5826167,1199.090167
80,13:10,13:20,790,800,0.1666666667,0.8416,5714.6836,7053.1371,952.4472667,1175.52285
81,13:20,13:30,800,810,0.1666666667,0.8618,5717.8505,6910.4064,952.9750833,1151.7344
82,13:30,13:40,810,820,0.1666666667,0.8623,5708.2486,6772.4075,951.3747667,1128.734583
83,13:40,13:50,820,830,0.1666666667,0.9026,5696.9182,6607.36,949.4863667,1101.226667
84,13:50,14:00,830,840,0.1666666667,0.9754,5692.2983,6412.5085,948.7163833,1068.751417
85,14:00,14:10,840,850,0.1666666667,1.0002,5687.1291,6214.0158,947.85485,1035.6693
86,14:10,14:20,850,860,0.1666666667,0.9978,5678.962,6000.7112,946.4936667,1000.118533
87,14:20,14:30,860,870,0.1666666667,1.0271,5669.4508,5766.9816,944.9084667,961.1636
88,14:30,14:40,870,880,0.1666666667,1.0906,5664.1948,5521.5066,944.0324667,920.2511
89,14:40,14:50,880,890,0.1666666667,0.9376,5672.7011,5268.781,945.4501833,878.1301667
90,14:50,15:00,890,900,0.1666666667,0.6694,5682.2544,5009.7152,947.0424,834.9525333
91,15:00,15:10,900,910,0.1666666667,0.66,5669.0195,4743.4484,944.8365833,790.5747333
92,15:10,15:20,910,920,0.1666666667,0.7217,5656.3651,4471.224,942.7275167,745.204
93,15:20,15:30,920,930,0.1666666667,0.7308,5657.0867,4188.2025,942.8477833,698.03375
94,15:30,15:40,930,940,0.1666666667,0.7534,5662.6008,3889.3931,943.7668,648.2321833
95,15:40,15:50,940,950,0.1666666667,0.7823,5669.2596,3594.5946,944.8766,599.0991
96,15:50,16:00,950,960,0.1666666667,0.8055,5673.4767,3303.8878,945.57945,550.6479667
97,16:00,16:10,960,970,0.1666666667,0.8271,5671.0146,2998.4247,945.1691,499.73745
98,16:10,16:20,970,980,0.1666666667,0.8519,5661.5926,2687.4131,943.5987667,447.9021833
99,16:20,16:30,980,990,0.1666666667,0.8791,5665.8922,2383.1779,944.3153667,397.1963167
100,16:30,16:40,990,1000,0.1666666667,0.9024,5689.0372,2089.1246,948.1728667,348.1874333
101,16:40,16:50,1000,1010,0.1666666667,0.9163,5603.6614,1791.0829,933.9435667,298.5138167
102,16:50,17:00,1010,1020,0.1666666667,0.9264,5466.7124,1501.7283,911.1187333,250.28805
103,17:00,17:10,1020,1030,0.1666666667,0.9462,5467.3939,1255.1723,911.2323167,209.1953833
104,17:10,17:20,1030,1040,0.1666666667,0.9742,5464.727,1036.3323,910.7878333,172.72205
105,17:20,17:30,1040,1050,0.1666666667,0.9862,5492.4458,836.7775,915.4076333,139.4629167
106,17:30,17:40,1050,1060,0.1666666667,0.976,5621.7308,665.2313,936.9551333,110.8718833
107,17:40,17:50,1060,1070,0.1666666667,1.0742,5091.2126,516.6758,848.5354333,86.11263333
108,17:50,18:00,1070,1080,0.1666666667,1.2313,4208.5688,386.6731,701.4281333,64.44551667
109,18:00,18:10,1080,1090,0.1666666667,1.2561,4122.7611,275.7933,687.12685,45.96555
110,18:10,18:20,1090,1100,0.1666666667,1.2447,4255.9358,182.9526,709.3226333,30.4921
111,18:20,18:30,1100,1110,0.1666666667,1.2545,4225.9524,108.3414,704.3254,18.0569
112,18:30,18:40,1110,1120,0.1666666667,1.2522,4233.3384,54.3121,705.5564,9.052016667
113,18:40,18:50,1120,1130,0.1666666667,1.2881,4246.4625,18.6569,707.74375,3.109483333
114,18:50,19:00,1130,1140,0.1666666667,1.3466,4239.1795,0.2753,706.5299167,0.04588333333
115,19:00,19:10,1140,1150,0.1666666667,1.3523,4244.6684,0.2296,707.4447333,0.03826666667
116,19:10,19:20,1150,1160,0.1666666667,1.3445,4251.9187,0.6007,708.6531167,0.1001166667
117,19:20,19:30,1160,1170,0.1666666667,1.3483,4256.6813,0,709.4468833,0
118,19:30,19:40,1170,1180,0.1666666667,1.349,4267.3947,0,711.23245,0
119,19:40,19:50,1180,1190,0.1666666667,1.3473,4269.975,0,711.6625,0
120,19:50,20:00,1190,1200,0.1666666667,1.3482,4268.6702,0,711.4450333,0
121,20:00,20:10,1200,1210,0.1666666667,1.3513,4282.2245,0,713.7040833,0
122,20:10,20:20,1210,1220,0.1666666667,1.34,4291.7049,0,715.28415,0
123,20:20,20:30,1220,1230,0.1666666667,1.3489,4291.3611,0,715.22685,0
124,20:30,20:40,1230,1240,0.1666666667,1.3952,4293.9182,0,715.6530333,0
125,20:40,20:50,1240,1250,0.1666666667,1.2226,4295.2135,0,715.8689167,0
126,20:50,21:00,1250,1260,0.1666666667,0.9332,4302.0307,0,717.0051167,0
127,21:00,21:10,1260,1270,0.1666666667,0.9068,4320.9618,0,720.1603,0
128,21:10,21:20,1270,1280,0.1666666667,0.9371,4302.3292,0,717.0548667,0
129,21:20,21:30,1280,1290,0.1666666667,0.9371,4322.6758,0,720.4459667,0
130,21:30,21:40,1290,1300,0.1666666667,0.9871,4428.8083,0,738.1347167,0
131,21:40,21:50,1300,1310,0.1666666667,0.7764,4030.1614,0,671.6935667,0
132,21:50,22:00,1310,1320,0.1666666667,0.4209,3362.7419,0,560.4569833,0
133,22:00,22:10,1320,1330,0.1666666667,0.3859,3309.3934,0,551.5655667,0
134,22:10,22:20,1330,1340,0.1666666667,0.4368,3412.9563,0,568.82605,0
135,22:20,22:30,1340,1350,0.1666666667,0.4198,3381.9313,0,563.6552167,0
136,22:30,22:40,1350,1360,0.1666666667,0.4186,3386.5592,0,564.4265333,0
137,22:40,22:50,1360,1370,0.1666666667,0.4241,3400.4846,0,566.7474333,0
138,22:50,23:00,1370,1380,0.1666666667,0.4237,3399.2426,0,566.5404333,0
139,23:00,23:10,1380,1390,0.1666666667,0.4248,3406.9809,0,567.83015,0
140,23:10,23:20,1390,1400,0.1666666667,0.424,3416.1518,0,569.3586333,0
141,23:20,23:30,1400,1410,0.1666666667,0.422,3421.9811,0,570.3301833,0
142,23:30,23:40,1410,1420,0.1666666667,0.424,3429.6923,0,571.6153833,0
143,23:40,23:50,1420,1430,0.1666666667,0.4271,3439.061,0,573.1768333,0
144,23:50,24:00,1430,1440,0.1666666667,0.4276,3444.7259,0,574.1209833,0
